"TEAMS","Player","","KTPR","Matches","Att.","Flags","F/T","Kills","K/T","Deaths","D/T","K/D Ratio","Kills/Match","Kills/Half","Deaths/Match","Deaths/Half","Flags/Match","Flags/Half","Class"
"","3SidedQuarter","1","0.93","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","SNIPER"
"","shreddies","1","0.77","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","3RD RIFLE"
"","TEAM'S FIGURES","","0.94","#REF!","6 players","#N/A","-","#N/A","-","#N/A","-","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-"
"Thunder","JaGGoN","1","1.32","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","SNIPER"
"","jules","1","1.33","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","ryanemo","1","1.51","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","dorito","1","1.56","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","cK","1","1.40","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","fusioN","1","0.52","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","3RD RIFLE"
"","TEAM'S FIGURES","","1.27","#REF!","6 players","#N/A","-","#N/A","-","#N/A","-","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-"
"ukz","ProstaR","1","0.88","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","3RD RIFLE"
"","Cory","1","0.70","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","mogers","1","1.08","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","Riveroyster","1","1.40","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","Nicholson","1","1.35","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","SNIPER"
"","eman","1","0.65","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","TEAM'S FIGURES","","1.01","#REF!","6 players","#N/A","-","#N/A","-","#N/A","-","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-"
"#under","chi","1","1.05","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","tilljim","1","1.25","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","3RD RIFLE"
"","devin","1","1.15","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","patten","1","1.13","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","SNIPER"
"","baronn","1","0.83","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","HEAVY"
"","paintball","1","1.48","#REF!","#REF!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","RIFLE"
"","TEAM'S FIGURES","","1.15","#REF!","6 players","#N/A","-","#N/A","-","#N/A","-","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","-"
